"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Glem ikke at bruge referencen i din betaling. Uden referencen kan behandlingen af din betaling tage længere tid!"
"Account holder: %1","Kontoindehaver: %1"
"Account number: %1","Kontonummer: %1"
"Amount: %1","Beløb: %1"
"Amounts don't match. Possible fraud","Beløbene stemmer ikke overens. Mulig svindel"
"API Details","API-detaljer"
"API Key","NoPayn API-nøgle"
"BIC: %1","BIC: %1"
"Branding","Branding"
"Bundle CA.cert file","Bundt cURL ca.cert-fil"
"Choose your bank:","Vælg din bank:"
"City: %1","By: %1"
"Credit Card","Kreditkort"
"Debug requests","Fejlsøgningsanmodninger"
"Debug","Fejlsøgning"
"Description","Beskrivelse"
"Enabled","Aktiveret"
"Especially for Developers you can enable the Debug mode.","Især for udviklere kan du aktivere fejlsøgningstilstand."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Du kan begrænse tilgængeligheden til specifikke IP-adresser, for eksempel til testformål (eksempel: 128.0.0.1, 255.255.255.255). Hvis du lader dette være tomt, vil betalingsmetoden være tilgængelig for alle IP-adresser."
"Fill in your API Key below.","Kopier API-nøglen til din webshop fra din forhandlerportal."
"General","Generelt"
"Generate invoice upon succesfull transaction","Generer en faktura for en vellykket transaktion"
"Generate invoice upon successful transaction","Generer faktura ved vellykket transaktion"
"Generate Invoice","Generer faktura"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Angiv automatisk webhook URL med hver genereret ordre til NoPayn PSP API."
"NoPayn Order ID: %1","NoPayn Ordre-ID: %1"
"NoPayn processes the payments for","NoPayn behandler betalingerne for"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro eller V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Indstillinger"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Ugyldig retur fra NoPayn."
"Invalid return, missing order id.","Ugyldig retur, manglende ordre-id."
"IP Filtering","IP-adresse(r) til test."
"Limit & Sorting","Risikoindstillinger og sortering"
"Live","Live"
"Minimum Order Total","Minimum ordretotal"
"New order email sent","Ny ordre-e-mail sendt"
"No order found for transaction id %1","Ingen ordre fundet for transaktions-id %1"
"Notified customer about invoice #%1","Underrettet kunde om faktura #%1"
"Order not found","Ordre ikke fundet"
"OrderId not set","Ordre-ID ikke angivet"
"Payment Description","Betalingsbeskrivelse"
"Payment failed with an error","Betaling mislykkedes med en fejl"
"Payment from Applicable Countries","Tillad betaling fra gældende lande"
"Payment from Specific Countries","Tillad betaling fra specifikke lande"
"Payment instructions:","Betalingsinstruktioner:"
"Payment is cancelled","Betalingen er annulleret"
"Payment is completed","Betalingen er gennemført"
"Payment is pending","Betalingen afventer"
"Place Order","Afgiv ordre"
"Please use the following payment information:","Brug venligst følgende betalingsoplysninger:"
"Product","Produkt"
"Reference: %1","Reference: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Løser problem når curl.cacert-stien ikke er angivet i PHP.ini"
"Send Invoice Email","Send faktura-e-mail"
"Send order mail","Send en ordrebekræftelses-e-mail til kunden"
"Set the notification for to Notify the customer with the Invoice","Send en faktura-e-mail til din kunde"
"Set the order status before the customer is redirected to Payment Gateway","Indstil ordrestatus, før kunden omdirigeres til betalingsgateway"
"Set the order status for Completed Payments","Indstil ordrestatus for gennemførte betalinger"
"Settings","Indstillinger"
"Something went wrong.","Noget gik galt."
"Sort Order","Sorteringsrækkefølge"
"Status Pending","Status Afventende"
"Status Processing","Status Behandling"
"Test API Key","Test API-nøgle"
"Test","Test"
