"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Μην ξεχάσετε να χρησιμοποιήσετε την αναφορά στην πληρωμή σας. Χωρίς την αναφορά, η επεξεργασία της πληρωμής σας μπορεί να διαρκέσει περισσότερο χρόνο!"
"Account holder: %1","Κάτοχος λογαριασμού: %1"
"Account number: %1","Αριθμός λογαριασμού: %1"
"Amount: %1","Ποσό: %1"
"Amounts don't match. Possible fraud","Τα ποσά δεν ταιριάζουν. Πιθανή απάτη"
"API Details","Λεπτομέρειες API"
"API Key","Κλειδί API NoPayn"
"BIC: %1","BIC: %1"
"Branding","Επωνυμία"
"Bundle CA.cert file","Πακέτο αρχείου cURL ca.cert"
"Choose your bank:","Επιλέξτε την τράπεζά σας:"
"City: %1","Πόλη: %1"
"Credit Card","Πιστωτική κάρτα"
"Debug requests","Αιτήματα αποσφαλμάτωσης"
"Debug","Αποσφαλμάτωση"
"Description","Περιγραφή"
"Enabled","Ενεργοποιημένο"
"Especially for Developers you can enable the Debug mode.","Ειδικά για προγραμματιστές, μπορείτε να ενεργοποιήσετε τη λειτουργία αποσφαλμάτωσης."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Μπορείτε να περιορίσετε τη διαθεσιμότητα σε συγκεκριμένες διευθύνσεις IP, για παράδειγμα για σκοπούς δοκιμών (παράδειγμα: 128.0.0.1, 255.255.255.255). Εάν το αφήσετε κενό, η μέθοδος πληρωμής θα είναι διαθέσιμη σε όλες τις διευθύνσεις IP."
"Fill in your API Key below.","Αντιγράψτε το κλειδί API του ηλεκτρονικού σας καταστήματος από την πύλη εμπόρων σας."
"General","Γενικά"
"Generate invoice upon succesfull transaction","Δημιουργία τιμολογίου για επιτυχημένη συναλλαγή"
"Generate invoice upon successful transaction","Δημιουργία τιμολογίου μετά από επιτυχημένη συναλλαγή"
"Generate Invoice","Δημιουργία τιμολογίου"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Αυτόματη παροχή του URL webhook με κάθε παραγόμενη παραγγελία στο API NoPayn PSP."
"NoPayn Order ID: %1","Αναγνωριστικό παραγγελίας NoPayn: %1"
"NoPayn processes the payments for","Η NoPayn επεξεργάζεται τις πληρωμές για"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro ή V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Ρυθμίσεις"
"NoPayn PSP","NoPayn PSP"
